FN,17,43,31,32,23,1,19,2,2,21,85,96,11,1,5,15,37,12,15,17,5,15,15,5,24,9,0,16,62,32,48,34,17,17,3,1,11,7,7,4,37,0,0,31,14,3,8,32,23,10,1,0,9,5,1,8,7,4,0,0
FNR,0.06204,0.15636,0.11355,0.11722,0.08364,0.00364,0.06909,0.00733,0.00733,0.07692,0.31136,0.35294,0.04059,0.00364,0.01812,0.05495,0.13504,0.04396,0.05474,0.0625,0.01832,0.05474,0.05474,0.01812,0.08759,0.03273,0.0,0.05818,0.22545,0.11636,0.17391,0.12319,0.06159,0.06159,0.01087,0.00364,0.03986,0.02536,0.02536,0.01449,0.13406,0.0,0.0,0.11232,0.05072,0.01087,0.02899,0.11636,0.08364,0.0365,0.00362,0.0,0.03261,0.01812,0.00365,0.02899,0.02545,0.01449,0.0,0.0
FOR,0.00105,0.00265,0.00191,0.00197,0.00142,6e-05,0.00117,0.00012,0.00012,0.00129,0.00523,0.00591,0.00068,6e-05,0.00031,0.00093,0.00228,0.00074,0.00092,0.00105,0.00031,0.00093,0.00093,0.00031,0.00148,0.00055,0.0,0.00099,0.00383,0.00198,0.00296,0.0021,0.00105,0.00105,0.00019,6e-05,0.00068,0.00043,0.00043,0.00025,0.00228,0.0,0.0,0.00191,0.00086,0.00019,0.00049,0.00197,0.00142,0.00062,6e-05,0.0,0.00055,0.00031,6e-05,0.00049,0.00043,0.00025,0.0,0.0
FP,24,14,39,30,19,11,7,5,2,12,56,73,8,6,4,22,8,8,4,23,10,17,22,24,6,0,2,24,90,57,35,42,16,26,24,2,8,21,20,5,30,12,0,16,23,10,15,18,18,7,2,4,3,4,4,6,10,2,0,0
FPR,0.00148,0.00086,0.00241,0.00185,0.00117,0.00068,0.00043,0.00031,0.00012,0.00074,0.00345,0.0045,0.00049,0.00037,0.00025,0.00136,0.00049,0.00049,0.00025,0.00142,0.00062,0.00105,0.00136,0.00148,0.00037,0.0,0.00012,0.00148,0.00555,0.00352,0.00216,0.00259,0.00099,0.0016,0.00148,0.00012,0.00049,0.0013,0.00123,0.00031,0.00185,0.00074,0.0,0.00099,0.00142,0.00062,0.00093,0.00111,0.00111,0.00043,0.00012,0.00025,0.00019,0.00025,0.00025,0.00037,0.00062,0.00012,0.0,0.0
G,0.9262,0.89198,0.87374,0.88604,0.9231,0.97873,0.95191,0.98726,0.99267,0.93868,0.72842,0.67628,0.96476,0.98743,0.98367,0.93317,0.91472,0.96313,0.96482,0.92733,0.97282,0.94182,0.93341,0.94974,0.94394,0.9835,0.9964,0.92841,0.73789,0.84602,0.84626,0.86437,0.94011,0.92347,0.95352,0.99456,0.96541,0.95082,0.95246,0.98373,0.87714,0.97895,1.0,0.91283,0.93417,0.97682,0.95893,0.90703,0.92481,0.96882,0.99458,0.99283,0.97808,0.98367,0.99094,0.97455,0.96927,0.9891,1.0,1.0
GI,0.93648,0.84277,0.88404,0.88093,0.91519,0.99569,0.93048,0.99237,0.99255,0.92234,0.68519,0.64256,0.95892,0.99599,0.98164,0.9437,0.86447,0.95555,0.94501,0.93608,0.98107,0.94421,0.9439,0.9804,0.91204,0.96727,0.99988,0.94034,0.76899,0.88012,0.82393,0.87422,0.93742,0.9368,0.98765,0.99624,0.95965,0.97334,0.9734,0.9852,0.86409,0.99926,1.0,0.88669,0.94786,0.98851,0.97009,0.88253,0.91525,0.96307,0.99625,0.99975,0.96721,0.98164,0.9961,0.97064,0.97393,0.98538,1.0,1.0
GM,0.96776,0.9181,0.94038,0.9387,0.95671,0.99784,0.96463,0.99618,0.99627,0.96041,0.82841,0.80259,0.97925,0.998,0.99078,0.97148,0.9298,0.97753,0.97212,0.96756,0.99049,0.97173,0.97158,0.99017,0.95502,0.9835,0.99994,0.96975,0.87764,0.93837,0.90791,0.93517,0.96824,0.96794,0.99381,0.99812,0.97963,0.9866,0.98663,0.99257,0.9297,0.99963,1.0,0.9417,0.97362,0.99424,0.98494,0.9395,0.95674,0.98137,0.99813,0.99988,0.98347,0.99078,0.99805,0.98522,0.98689,0.99267,1.0,1.0
HD,41,57,70,62,42,12,26,7,4,33,141,169,19,7,9,37,45,20,19,40,15,32,37,29,30,9,2,40,152,89,83,76,33,43,27,3,19,28,27,9,67,12,0,47,37,13,23,50,41,17,3,4,12,9,5,14,17,6,0,0
IBA,0.87985,0.71184,0.78603,0.7795,0.83981,0.99274,0.86662,0.9854,0.9854,0.85212,0.47496,0.4197,0.92049,0.99274,0.9641,0.8932,0.74822,0.91404,0.89352,0.87899,0.96372,0.89356,0.89358,0.96412,0.83252,0.93562,1.0,0.8871,0.60087,0.78116,0.68273,0.76907,0.88066,0.8807,0.97839,0.99274,0.9219,0.94995,0.94995,0.97123,0.75007,1.0,1.0,0.78808,0.90119,0.97839,0.94289,0.78093,0.83981,0.92835,0.99277,1.0,0.93585,0.9641,0.99271,0.94288,0.94975,0.97123,1.0,1.0
ICSI,0.85255,0.78673,0.74766,0.77208,0.84625,0.95777,0.90429,0.97456,0.98535,0.87762,0.45914,0.35389,0.92956,0.97494,0.96734,0.86648,0.83231,0.9263,0.93005,0.85477,0.94571,0.88366,0.86696,0.90053,0.88897,0.96727,0.99281,0.85701,0.47752,0.69364,0.69301,0.72892,0.88022,0.84718,0.90832,0.98912,0.93084,0.90222,0.90543,0.96746,0.75442,0.95833,1.0,0.82638,0.86857,0.95379,0.91801,0.81467,0.8497,0.93767,0.98916,0.98571,0.95628,0.96734,0.98191,0.94912,0.93857,0.97821,1.0,1.0
IS,5.78221,5.82122,5.70072,5.74702,5.80088,5.84897,5.86683,5.88991,5.90568,5.84917,5.54014,5.42101,5.88317,5.8745,5.87938,5.79823,5.86311,5.87273,5.8889,5.79699,5.86343,5.81929,5.79339,5.77809,5.87679,5.90575,5.8901,5.7779,5.39729,5.60175,5.69449,5.66963,5.81404,5.76251,5.77895,5.89526,5.85761,5.79207,5.79705,5.87424,5.72992,5.83912,5.90575,5.80925,5.77912,5.84862,5.82195,5.80266,5.80622,5.87325,5.89006,5.87976,5.8844,5.87938,5.89002,5.86857,5.8529,5.88995,5.91628,5.90052
J,0.86242,0.80277,0.77564,0.79538,0.85714,0.95804,0.9078,0.97482,0.98545,0.88421,0.57143,0.51014,0.9319,0.97509,0.96786,0.87458,0.84043,0.92883,0.93165,0.86441,0.947,0.89003,0.875,0.90333,0.89286,0.96727,0.99281,0.86622,0.58356,0.73193,0.73312,0.76101,0.88699,0.85762,0.91,0.98917,0.9331,0.90572,0.90878,0.96797,0.78105,0.95833,1.0,0.83904,0.87625,0.95455,0.92096,0.82935,0.86007,0.9395,0.98921,0.98571,0.95699,0.96786,0.98201,0.95035,0.94035,0.97842,1.0,1.0
